id,year,sector,pin,f_pin,m_pin,pie_1,pie_2,col_1,col_2,col_3,col_4,key_message
1,hno_2019,protection,13.2,6.5,6.7,49,51,1.4,4.1,7.1,0.6,"Diverse and interlinked protection needs continue to be widespread throughout Syria, and acute in some areas. They are driven by the impact of active hostilities and new displacements, as well as the long- term consequences of the crisis and dynamics linked to return increasing the stress on already overburdened communities. According to UN needs assessment initiatives, the occurrence of multiple protection issues in the same community is not uncommon. This environment continues to require a sustained response by humanitarian actors."
2,hno_2019,cccm,6.2,3.1,3.1,50,50,0.7,1.9,3.3,0.3,"IDP sites continue to provide immediate humanitarian lifesaving assistance to the most vulnerable IDPs, particularly in situations of sudden mass displacements. Children and women make up 73 per cent of camp population in north-west Syria. Although IDP sites (including planned camps, informal sites, transit/reception centres and collective centres) are designed to act as an option of last-resort, the past year has witnessed an increase by 16 per cent in the number of IDPs seeking shelter in these sites."
3,hno_2019,erl,8.7,4.3,4.4,50,50,0.9,2.7,4.6,0.5,"Out of around 4.9 million potential members of the workforce (between 18 and 65 years of age), over half are without access to sustained employment."
4,hno_2019,education,6,2.8,3.2,47,53,5.9,0.1,0,0,"2.1 million children in Syria are out of school, and a further 1.3 million are at risk of dropping out."
5,hno_2019,fs,9,4.7,4.3,53,47,0.3,2.4,4.2,2.1,"An estimated 6.5 million Syrians are food insecure and an additional 2.5 million people are at risk of food insecurity. The main drivers of food insecurity in Syria are a set of interrelated factors related to the deteriorating economic environment, loss of livelihoods and reduced production capacity, limited physical and financial access to food, high prices and inflation, reduced purchasing power and continuous livelihood depletion of the most vulnerable populations. "
6,hno_2019,health,13.2,9.5,3.7,72,28,2.2,2.9,7.3,0.8,"In 2018, there were 142 reported attacks on health care - 137 confirmed, 4 probable, and 1 possible - that resulted in a reported 102 deaths and 189 injuries. Attacks and resource constraints impact the functionality of health facilities - September 2018 Health Resource Availability Monitoring System (HeRAMS) data indicated that, across Syria, 46 per cent of health facilities were either non-functional or partially functional."
7,hno_2019,nutrition,4.7,3.2,1.5,68,32,3.1,1.6,0,0,"Women and children living in Syria particularly hard to reach areas and over-burdened communities, areas deprived of basic social services, displaced person and returns are in urgent need for nutrition interventions and should be prioritized to ensure that their nutritional status remains stable and improves."
8,hno_2019,shelter,4.7,2.4,2.3,51,49,0.5,1.5,2.5,0.2,"The shelter situation in Syria continues to worsen, in terms of the available shelter capacity, the adequacy of shelter conditions, the ability of people to repair or rehabilitate their own damaged house, and in particular the affordability of rent."
9,hno_2019,nfi,4.4,2.2,2.2,50,50,0.5,1.4,2.3,0.2,"While market access appears to be gradually improving and non-food items (NFI) are available in markets, many essential, humanitarian life-saving and life-sustaining basic items continue to be unaffordable for many people, including clothing and fuel."
10,hno_2019,wash,15.5,7.8,7.7,50,50,1.5,4.7,8.6,0.7,"Access to sufficient quantities of safe water remains limited, with increased water quality assurances and support to water systems rehabilitation, operation and maintenance unconditionally needed."
11,pmr_2018,protection,13.5,6.9,6.6,51,49,1.5,4.1,7.3,0.6,The Protection sector PiN has seen a minor increase from 13.3 million (2018 HNO) to 13.5 million.
12,pmr_2018,cccm,6.2,3.2,3,51,49,0.7,1.8,3.4,0.3,"During the past year, the number of IDPs in Syria remained largely steady at a national level, increasing from 6.1 million reported in the HNO 2018 to 6.2 million individuals."
13,pmr_2018,erl,10.3,5.3,5,51,49,1.2,3,5.6,0.5,"The emergency response dominated partners responses during the first five months of 2018 due to hostilities and the substantial number of IDPs in East Ghouta and Afrin. As a result, critical response gaps were identified by the sector in respect to improving livelihoods through the creation of income generating opportunities and improving access to production and market infrastructure"
14,pmr_2018,education,6.4,3.3,3.1,51,49,6.1,0.3,0,0,"Educational needs are increasing due to the changing context and shifts in control, specifically in East Ghouta, the northwest (including Afrin) and northwest (Deirez-Zor and Ar-Raqqa). However, partners could not sufficiently scale up capacity to respond to increasing needs due to lengthy approval processes in Government-controlled areas. This resulted in major gaps in addressing the educational needs of school-aged children, pushing more children out of school or learning opportunities: 2.08 million children are currently out of school compared to 1.75 million in 2017"
15,pmr_2018,fs,11.2,5.7,5.5,50.5,49.5,1.3,3.4,6,0.5,"The Food Security Sector is concerned about 1.45 million people in 30 sub districts with severity 4 and 5 who have not received consistent food assistance due to hostilities and access. This includes 759,365 food insecure people in severity 5 sub-districts and 694,025 food insecure people in severity 4 sub districts"
16,pmr_2018,health,12.2,6.3,5.9,51,49,1.4,3.7,6.6,0.5,"Changes in sector severity categorizations after the first six months of 2018 are primarily the result of internal population movements across Syria. The average health severity score for northwest Syria increased by approximately 1 point, with Idleb home to increasing numbers of IDPs in already underserved communities. Scores in rural Damascus have increased or remained the same, with many communities previously served through cross-border health actors currently experiencing reduced access to primary health services and medicines."
17,pmr_2018,nutrition,4.8,,,,,3.1,1.7,0,0,"The changing contexts in Syria during the reporting period affected nutrition needs due to access constraints and a lack of services. Afrin and Rural Damascus saw population movement and mass displacement, leading to high numbers of people seeking shelter outside of these areas. From Afrin, 100,000 people were displaced across different areas in Rural Aleppo, of which approximately 14,000 boys and girls and 8,000 PLW. Those who remained lacked basic services such as water, health, nutrition and other essential needs."
18,pmr_2018,shelter,4.3,2.2,2.1,51,49,0.5,1.2,2.4,0.2,"Emergency needs in the sector were shaped by displacement from areas in Afrin, East Ghouta, northern Hama and southern Idleb, with both NFI and emergency shelter responses engaged. The displacement into Governmentcontrolled areas from East Ghouta and Afrin also required shelter assistance and infrastructure installation in overcrowded IDP sites."
19,pmr_2018,nfi,5.5,2.8,2.7,51,49,0.6,1.5,3,0.4,"Emergency needs in the sector were shaped by displacement from areas in Afrin, East Ghouta, northern Hama and southern Idleb, with both NFI and emergency shelter responses engaged. The displacement into Governmentcontrolled areas from East Ghouta and Afrin also required shelter assistance and infrastructure installation in overcrowded IDP sites."
20,pmr_2018,wash,14.8,7.4,7.4,51,49,1.5,4.6,8.1,0.6,"Crisis dynamics continued to shape access opportunities and constraints for WASH service delivery modalities across Syria. During the reporting period the highest number of IDP movement was recorded since the beginning of the crisis, with significant displacements within and to northwest Syria, from East Ghouta and other formerly UN-declared besieged areas to Government-controlled areas, and from Deir-ezZor to northeast Syria."
21,hno_2018,protection,13.3,6.8,6.5,51,49,1.5,4,7.2,0.6,"The high level of civilian casualties and findings from recent assessments continue to provide strong indications that serious violations and abuses of international humanitarian law (IHL) and international human rights law (IHRL) continue to occur, while widespread contamination of explosive hazards endangers the lives of civilians"
22,hno_2018,cccm,6.1,3.1,3,51,49,0.7,1.8,3.3,0.3,"The use of IDP sites, including camps, remains an option of last-resort, however, the lack of other alternatives contributed to 20 per cent of newly displaced IDPs seeking shelter in such sites following significant incidences of displacement during 2017"
